iter	Passed	Remaining
410	4003	5736
411	4010	5723
412	4018	5711
413	4025	5697
414	4033	5686
415	4042	5675
416	4051	5664
417	4059	5652
418	4067	5640
419	4076	5628
420	4085	5618
421	4093	5606
422	4102	5596
423	4109	5583
424	4118	5572
425	4126	5560
426	4137	5551
427	4147	5542
428	4158	5534
429	4167	5523
430	4174	5511
431	4183	5500
432	4190	5487
433	4199	5476
434	4205	5462
435	4213	5451
436	4220	5437
437	4228	5426
438	4235	5412
439	4242	5399
440	4250	5388
441	4258	5375
442	4265	5363
443	4272	5350
444	4281	5340
445	4288	5326
446	4295	5314
447	4302	5300
448	4309	5289
449	4316	5276
450	4324	5263
451	4330	5250
452	4337	5237
453	4344	5224
454	4351	5212
455	4359	5201
456	4366	5188
457	4374	5177
458	4381	5163
459	4388	5151
460	4394	5138
461	4401	5125
462	4408	5112
463	4414	5100
464	4422	5087
465	4428	5075
466	4436	5063
467	4442	5049
468	4448	5036
469	4455	5024
470	4463	5013
471	4471	5002
472	4478	4989
473	4486	4978
474	4492	4965
475	4499	4953
476	4506	4940
477	4512	4927
478	4526	4923
479	4534	4912
480	4541	4900
481	4549	4889
482	4557	4878
483	4564	4866
484	4572	4855
485	4579	4843
486	4586	4831
487	4592	4818
488	4600	4807
489	4606	4794
490	4614	4783
491	4620	4770
492	4626	4758
493	4634	4746
494	4642	4735
495	4649	4724
496	4655	4712
497	4663	4700
498	4671	4689
499	4679	4679
500	4686	4668
501	4694	4657
502	4701	4645
503	4708	4633
504	4715	4621
505	4721	4609
506	4728	4598
507	4735	4586
508	4742	4575
509	4749	4563
510	4756	4551
511	4763	4540
512	4770	4528
513	4777	4517
514	4783	4505
515	4791	4494
516	4797	4482
517	4804	4470
518	4810	4458
519	4817	4446
520	4824	4435
521	4830	4423
522	4838	4412
523	4844	4400
524	4851	4389
525	4858	4378
526	4864	4366
527	4872	4355
528	4879	4344
529	4887	4333
530	4893	4322
531	4901	4311
532	4907	4299
533	4921	4294
534	4928	4283
535	4938	4274
536	4945	4263
537	4953	4253
538	4961	4243
539	4970	4233
540	4979	4225
541	4987	4214
542	4996	4205
543	5003	4194
544	5011	4183
545	5019	4173
546	5028	4164
547	5035	4153
548	5044	4144
549	5054	4135
550	5062	4125
551	5070	4114
552	5079	4106
553	5087	4096
554	5094	4085
555	5101	4074
556	5110	4064
557	5117	4053
558	5144	4058
559	5153	4049
560	5160	4038
561	5167	4027
562	5175	4017
563	5184	4007
564	5191	3996
565	5198	3986
566	5219	3985
567	5225	3974
568	5232	3963
569	5238	3952
570	5245	3940
571	5252	3930
572	5258	3918
573	5264	3907
574	5272	3897
575	5279	3886
576	5285	3874
577	5292	3863
578	5299	3853
579	5305	3842
580	5312	3831
581	5318	3819
582	5324	3808
583	5331	3798
584	5338	3786
585	5344	3776
586	5351	3764
587	5357	3753
588	5364	3743
589	5370	3732
590	5376	3721
591	5384	3710
592	5391	3700
593	5397	3689
594	5403	3677
595	5410	3667
596	5416	3656
597	5422	3644
598	5429	3634
599	5435	3623
600	5442	3613
601	5448	3602
602	5454	3591
603	5461	3580
604	5467	3569
605	5474	3559
606	5481	3548
607	5487	3538
608	5494	3527
609	5500	3516
610	5508	3506
611	5514	3496
612	5521	3485
613	5528	3475
614	5535	3465
615	5542	3454
616	5548	3444
617	5555	3434
618	5561	3423
619	5567	3412
620	5574	3402
621	5581	3391
622	5587	3381
623	5594	3370
624	5600	3360
625	5607	3350
626	5613	3339
627	5620	3329
628	5626	3318
629	5633	3308
630	5639	3298
631	5646	3287
632	5652	3277
633	5658	3266
634	5665	3256
635	5671	3246
636	5677	3235
637	5683	3225
638	5690	3214
639	5697	3204
640	5703	3194
641	5709	3183
642	5716	3173
643	5722	3163
644	5728	3153
645	5735	3142
646	5740	3132
647	5747	3122
648	5754	3111
649	5760	3101
650	5767	3091
651	5773	3081
652	5780	3071
653	5788	3062
654	5795	3052
655	5801	3042
656	5807	3031
657	5814	3021
658	5820	3011
659	5827	3002
660	5833	2991
661	5840	2982
662	5846	2971
663	5853	2961
664	5860	2952
665	5866	2942
666	5872	2931
667	5878	2921
668	5883	2911
669	5889	2900
670	5896	2890
671	5903	2881
672	5909	2871
673	5915	2861
674	5922	2851
675	5928	2841
676	5935	2831
677	5941	2821
678	5947	2811
679	5953	2801
680	5959	2791
681	5965	2781
682	5971	2771
683	5977	2761
684	5983	2751
685	5990	2741
686	5996	2732
687	6003	2722
688	6009	2712
689	6016	2702
690	6022	2693
691	6028	2683
692	6035	2673
693	6041	2663
694	6047	2653
695	6053	2644
696	6059	2634
697	6066	2624
698	6072	2614
699	6078	2604
700	6084	2595
701	6091	2585
702	6097	2576
703	6103	2566
704	6109	2556
705	6116	2546
706	6121	2537
707	6127	2527
708	6134	2517
709	6139	2507
710	6146	2498
711	6152	2488
712	6159	2479
713	6166	2469
714	6172	2460
715	6179	2451
716	6185	2441
717	6191	2431
718	6197	2422
719	6204	2412
720	6211	2403
721	6217	2393
722	6223	2384
723	6229	2374
724	6235	2365
725	6241	2355
726	6247	2346
727	6254	2336
728	6259	2327
729	6266	2317
730	6274	2309
731	6281	2299
732	6288	2290
